subject;chapter;subchapter;question;options;correct_answer
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"Consider the following C++ code :

```cpp
  class Base {
    public:
      virtual void show() const {
        cout << ""Base Class"" << endl;
      }
  }
  
  class Derived : public Base {
    public:
      void show() override {
        cout << ""Derived Class"" << endl;
      }
  }
  ```
  What is the concept illustrated in this code?";""A) 'Base Class' will be printed"; "B) 'Derived Class' will be printed"; "C) It will result in a compile-time error"; "D) It will result in a run-time error"";"A) 'Base Class' will be printed"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"In C++, can a base class pointer point to a derived class object?";""A) Yes"; "B) No"; "C) It depends on the mode of inheritance"; "D) None of the above"";"A) Yes"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"Consider the following code :

```cpp
      class Base {
        public:
          virtual void show() {
            cout << ""Base Class"" << endl;
          }
      }
      
      class Derived : public Base {
        public:
          void show() {
            cout << ""Derived Class"" << endl;
          }
      }";""A) 'Base Class' will be printed"; "B) 'Derived Class' will be printed"; "C) It will result in a compile-time error"; "D) It will result in a run-time error"";"B) 'Derived Class' will be printed"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"Consider the following code :
class Base {
  public:
    virtual void show() = 0;
}
class Derived : public Base {
  public:
    void show() override {
      cout << 'Derived Class' << endl;
    }
}";""A) Public"; "B) Private"; "C) Protected"; "D) None of the above"";"A) Public"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"In C++, can a derived class have its own data members in addition to the ones inherited from the base class?";""A) Yes, always"; "B) No, never"; "C) It depends on the mode of inheritance"; "D) None of the above"";"A) Yes, always"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"Consider the following code :

```cpp
class Base {
  public:
    virtual void show() const {
      cout << ""Base Class"" << endl;
    }
}

class Derived : public Base {
  public:
    void show() const override {
      cout << ""Derived Class"" << endl;
    }
}
 ";""A) Yes"; "B) No"; "C) It depends on how Derived is instantiated"; "D) None of the above"";"A) Yes"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"When is it appropriate to use public inheritance?";""A) When you want to restrict access to all members of the base class"; "B) When you want to implement composition instead of inheritance"; "C) When you want to inherit implementation details without exposing them"; "D) None of the above"";"C) When you want to inherit implementation details without exposing them"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"Consider the following code :

```cpp
class Base {
  public:
    void display() {
      cout << ""Base Class"" << endl;
    }
}

class Derived : public Base {
  public:
    void display() const {
      cout << ""Derived Class"" << endl;
    }
}
```";""A) 'Base Class' will be printed"; "B) 'Derived Class' will be printed"; "C) It will result in a compile-time error"; "D) It will result in a run-time error"";"B) 'Derived Class' will be printed"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"In C++, can a derived class change the access level of a member inherited from the base class?";""A) Yes, always"; "B) No, never"; "C) It depends on the mode of inheritance"; "D) None of the above"";"B) No, never"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"Consider the following code :

            class Base {
              public:
                void show() {
                  cout << ""Base Class"" << endl;
                }
            }
            class Derived : private Base {
              public:
                using Base::show;
            }";""A) It makes the show function public in the Derived class"; "B) It hides the show function in the Base class"; "C) It makes the show function private in the Derived class"; "D) None of the above"";"A) It makes the show function public in the Derived class"
"OOP's using C++";"Inheritance";"Defining base class, Derived classes.Derivation Modes- public, private, protected";"In C++, can a derived class have multiple base classes with the same name but different implementations?";""A) Yes"; "B) No"; "C) It depends on the mode of inheritance"; "D) None of the above"";"A) Yes"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance involves a single base class and a single derived class?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"A) Single Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multilevel inheritance, how many levels of classes can be created?";""A) 2"; "B) 3"; "C) 4"; "D) 5"";"B) 3"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance involves a derived class having multiple base classes?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"C) Multiple Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multiple inheritance, what can be a possible issue to watch out for?";""A) Diamond Problem"; "B) Triangle Problem"; "C) Square Problem"; "D) Circle Problem"";"A) Diamond Problem"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance involves multiple derived classes inheriting from a single base class?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"D) Hierarchical Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the correct syntax for implementing single inheritance in C++?";""A) class DerivedClass : BaseClass"; "B) class BaseClass < DerivedClass"; "C) class DerivedClass > BaseClass"; "D) class DerivedClass - BaseClass"";"A) class DerivedClass : BaseClass"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multilevel inheritance, can a derived class have its own unique member variables?";""A) Yes"; "B) No"";"A) Yes"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which keyword is used to inherit a class in C++?";""A) inherit"; "B) extends"; "C) : public"; "D) inherits"";"C) : public"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multiple inheritance, if both base classes have a member with the same name, how can you resolve the ambiguity?";""A) Use virtual inheritance"; "B) Ignore the ambiguity"; "C) Rename one of the members"; "D) Use friend functions"";"A) Use virtual inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance is a combination of two or more types of inheritance?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hybrid Inheritance"";"D) Hybrid Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the main advantage of using inheritance in object-oriented programming?";""A) Code reusability"; "B) Code obfuscation"; "C) Code optimization"; "D) Code encryption"";"A) Code reusability"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance allows a derived class to inherit members from multiple base classes?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"C) Multiple Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multilevel inheritance, can a derived class be used as a base class for another class?";""A) Yes"; "B) No"";"A) Yes"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance can lead to the 'deadly diamond of death' problem?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"C) Multiple Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the output of the following C++ code ?#include<iostream>
using namespace std;

class A {
  public:
    void display() {
        cout << 'Class A' << endl;
    }
};

class B : public A {
  public:
    void display() {
        cout << 'Class B' << endl;
    }
};

int main() {
    B b;
    b.display();
    return 0;
}";""A) Class A"; "B) Class B"; "C) Compilation Error"; "D) Runtime Error"";"B) Class B"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multiple inheritance, how is the order of constructor and destructor calls determined?";""A) In the order of declaration"; "B) In the reverse order of declaration"; "C) In an arbitrary order"; "D) Compiler-dependent"";"A) In the order of declaration"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance is commonly used in modeling real-world scenarios like a hierarchy of animals?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"B) Multilevel Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multiple inheritance, if both base classes have a member with the same name, how can you access a specific member in the derived class?";""A) Use scope resolution operator"; "B) It's not possible"; "C) Use the this pointer"; "D) Use friend functions"";"A) Use scope resolution operator"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the output of the following C++ code ?#include<iostream>
using namespace std;

class A {
  public:
    void display() {
        cout << 'Class A' << endl;
    }
};

class B : public A {};

int main() {
    B b;
    b.display();
    return 0;
}
";""A) Class A"; "B) Compilation Error"; "C) Runtime Error"; "D) No Output"";"A) Class A"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance can lead to the creation of a complex class hierarchy?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"C) Multiple Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In hierarchical inheritance, how many derived classes can inherit from a single base class?";""A) 1"; "B) 2"; "C) 3"; "D) Any number"";"D) Any number"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which keyword is used to specify virtual inheritance in C++?";""A) virtual"; "B) inherit"; "C) base"; "D) extend"";"A) virtual"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the output of the following C++ code ?#include<iostream>
using namespace std;

class A {
  public:
    void display() {
        cout << 'Class A' << endl;
    }
};

class B : virtual public A {};

int main() {
    B b;
    b.display();
    return 0;
}";""A) Class A"; "B) Compilation Error"; "C) Runtime Error"; "D) No Output"";"A) Class A"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multilevel inheritance, can a derived class override a method defined in its base class?";""A) Yes"; "B) No"";"A) Yes"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance is considered more complex due to potential conflicts between inherited members?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"C) Multiple Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the purpose of virtual inheritance in C++?";""A) To allow a class to inherit from multiple base classes"; "B) To prevent the creation of objects of a class"; "C) To resolve ambiguity in multiple inheritance"; "D) To create an abstract base class"";"C) To resolve ambiguity in multiple inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"Which type of inheritance is used when you want to create a specialization of a base class?";""A) Single Inheritance"; "B) Multilevel Inheritance"; "C) Multiple Inheritance"; "D) Hierarchical Inheritance"";"A) Single Inheritance"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In multiple inheritance, what is the order of base class initialization in the derived class?";""A) In the order of declaration"; "B) In the reverse order of declaration"; "C) In an arbitrary order"; "D) Compiler-dependent"";"B) In the reverse order of declaration"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"What is the output of the following C++ code ?#include<iostream>
using namespace std;

class A {
  public:
    void display() {
        cout << 'Class A' << endl;
    }
};

class B : public A {
  public:
    void show() {
        cout << 'Class B' << endl;
    }
};

int main() {
    B b;
    b.display();
    b.show();
    return 0;
}";""A) Class A Class B"; "B) Class B Class A"; "C) Compilation Error"; "D) Runtime Error"";"A) Class A Class B"
"OOP's using C++";"Inheritance";"Single Inheritance.Multilevel Inheritance.Multiple Inheritance.Hierarchical Inheritance.Hybrid Inheritance";"In hybrid inheritance, which combination of inheritances is possible?";""A) Single and Multilevel"; "B) Multilevel and Multiple"; "C) Single and Multiple"; "D) Multilevel, Multiple, and Hierarchical"";"D) Multilevel, Multiple, and Hierarchical"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What are the three derivation modes in C++?";""A) public, protected, hidden"; "B) public, private, protected"; "C) open, closed, restricted"; "D) accessible, non-accessible, restricted"";"B) public, private, protected"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which access specifier allows a class to inherit its members?";""A) public"; "B) private"; "C) protected"; "D) static"";"A) public"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In C++, which access specifier is used by default for members of a class?";""A) public"; "B) private"; "C) protected"; "D) static"";"B) private"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"When using a virtual base class, which problem does it help to resolve?";""A) Diamond problem"; "B) Inheritance ambiguity"; "C) Multiple inheritance issue"; "D) Access specifier conflict"";"A) Diamond problem"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which keyword is used to declare a class as a virtual base class in C++?";""A) virtual"; "B) base"; "C) vbase"; "D) abstract"";"A) virtual"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a derived class, which constructor is called first?";""A) Base class constructor"; "B) Derived class constructor"; "C) They are called simultaneously"; "D) Depends on the situation"";"A) Base class constructor"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the purpose of a constructor in a derived class?";""A) To initialize base class members"; "B) To initialize derived class members"; "C) To allocate memory for objects"; "D) To define inheritance mode"";"A) To initialize base class members"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which of the following is true about constructors in a derived class?";""A) They must have the same name as the derived class"; "B) They cannot have default arguments"; "C) They cannot call base class constructor explicitly"; "D) They cannot be overloaded"";"A) They must have the same name as the derived class"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What happens if a derived class does not have a constructor?";""A) The default constructor of the derived class will be created automatically"; "B) The base class constructor will be called"; "C) It will use the constructor of the nearest ancestor"; "D) It will cause a compilation error"";"A) The default constructor of the derived class will be created automatically"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which keyword is used to call a base class constructor explicitly in a derived class constructor?";""A) base"; "B) super"; "C) this"; "D) parent"";"A) base"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a multiple inheritance scenario, how can you resolve ambiguity if two base classes have a member with the same name?";""A) Use explicit scope resolution"; "B) Use a virtual base class"; "C) Use a derived class"; "D) Rename the members"";"A) Use explicit scope resolution"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which access specifier allows a derived class to access the protected members of its base class?";""A) public"; "B) private"; "C) protected"; "D) static"";"C) protected"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a derived class, can you change the access specifier of an inherited member?";""A) No"; "B) Yes"";"A) No"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"When using multiple inheritance, what is the order of constructor execution?";""A) Leftmost base class first, then rightmost base class"; "B) Rightmost base class first, then leftmost base class"; "C) Random order"; "D) Compiler dependent"";"A) Leftmost base class first, then rightmost base class"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which access specifier allows a derived class to access the private members of its base class indirectly?";""A) public"; "B) private"; "C) protected"; "D) friend"";"D) friend"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a multiple inheritance scenario, which type of inheritance should be avoided to prevent the Diamond problem?";""A) public"; "B) private"; "C) protected"; "D) virtual"";"A) public"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the purpose of a destructor in a derived class?";""A) To clean up resources before the object is destroyed"; "B) To deallocate memory for base class objects"; "C) To deallocate memory for derived class objects"; "D) To define the destruction mode of base class"";"A) To clean up resources before the object is destroyed"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which access specifier allows a derived class to inherit constructors of its base class?";""A) public"; "B) private"; "C) protected"; "D) static"";"A) public"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a derived class, can you override a private member of the base class?";""A) No"; "B) Yes"";"A) No"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which type of inheritance allows a class to inherit from multiple base classes at the same time?";""A) Multiple inheritance"; "B) Hierarchical inheritance"; "C) Multilevel inheritance"; "D) Single inheritance"";"A) Multiple inheritance"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the output of the following code ?
class A {
public:
    int value;
    A() : value(10) {}
};

class B : public A {
public:
    B() : value(20) {}
};

int main() {
    B b;
    cout << b.value << endl;
    return 0;
}";""A) 10"; "B) 20"; "C) Compilation error"; "D) Runtime error"";"B) 20"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which keyword is used to prevent a class from being inherited by other classes?";""A) prevent"; "B) final"; "C) sealed"; "D) restrict"";"B) final"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a derived class, can you inherit a constructor from a base class with arguments?";""A) Yes"; "B) No"";"A) Yes"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the output of the following code ?
class A {
public:
    A(int x) {}
};

class B : public A {
public:
    B(int y) {}
};

int main() {
    B b(10);
    return 0;
}";""A) Compilation error"; "B) Runtime error"; "C) No output"; "D) The code runs successfully"";"A) Compilation error"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"Which access specifier restricts access to members only within the same class and its derived classes?";""A) public"; "B) private"; "C) protected"; "D) internal"";"C) protected"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a derived class, can you access the private members of the base class through a friend function?";""A) Yes"; "B) No"";"A) Yes"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the output of the following code ?
class A {
protected:
    int x;
public:
    A(int y) : x(y) {}
};

class B : public A {
public:
    int get_x() { return x; }
};

int main() {
    B b(5);
    cout << b.get_x() << endl;
    return 0;
}";""A) 5"; "B) Compilation error"; "C) Runtime error"; "D) 0"";"A) 5"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"In a derived class, can you override a protected member of the base class?";""A) Yes"; "B) No"";"A) Yes"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the purpose of making a base class destructor virtual?";""A) To ensure proper cleanup of resources in polymorphic scenarios"; "B) To allow derived classes to inherit the destructor"; "C) To prevent memory leaks"; "D) To improve performance"";"A) To ensure proper cleanup of resources in polymorphic scenarios"
"OOP's using C++";"Inheritance";"Making a private member inheritable.Virtual Base Class.Constructors in Derived Class";"What is the output of the following code ?
class A {
public:
    virtual void display() { cout << 'A'; }
};

class B : public A {
public:
    void display() { cout << 'B'; }
};

int main() {
    A* ptr = new B;
    ptr->display();
    delete ptr;
    return 0;
}";""A) A"; "B) B"; "C) Compilation error"; "D) Runtime error"";"B) B"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is a pointer in C++?";""A) A variable that stores the address of another variable"; "B) A variable that stores the value of another variable"; "C) A variable that stores a reference to another variable"; "D) A variable that stores a string value"";"A) A variable that stores the address of another variable"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"How do you declare a pointer in C++?";""A) int ptr;"; "B) int *ptr;"; "C) pointer ptr;"; "D) *int ptr;"";"B) int *ptr;"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the result of the following code ?
int num = 10;
int *ptr = &num;
cout << *ptr;";""A) 10"; "B) The address of 'num'"; "C) Compiler error"; "D) Undefined behavior"";"A) 10"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int arr[5] = {1, 2, 3, 4, 5};
int *ptr = arr;
cout << *ptr;";""A) 1"; "B) The address of 'arr'"; "C) Compiler error"; "D) Undefined behavior"";"A) 1"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"How do you initialize a pointer to null in C++?";""A) int *ptr = NULL;"; "B) int *ptr = 0;"; "C) int *ptr = nullptr;"; "D) All of the above"";"D) All of the above"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"Which operator is used to access the value pointed to by a pointer in C++?";""A) *"; "B) &"; "C) ->"; "D) ."";"A) *"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int num = 5;
int *ptr = &num;
*ptr = 7;
cout << num;";""A) 5"; "B) 7"; "C) Compiler error"; "D) Undefined behavior"";"B) 7"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"Which of the following is a valid pointer declaration?";""A) int ptr;"; "B) int * ptr;"; "C) int ptr;"; "D) All of the above"";"D) All of the above"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the size of a pointer in C++ (on a 32-bit system)?";""A) 2 bytes"; "B) 4 bytes"; "C) 8 bytes"; "D) Depends on the compiler"";"B) 4 bytes"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What does the following code do code ?
int *ptr = new int;";""A) Declares a pointer without initialization"; "B) Allocates memory for an integer on the heap and assigns its address to 'ptr'"; "C) Causes a memory leak"; "D) None of the above"";"B) Allocates memory for an integer on the heap and assigns its address to 'ptr'"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int num = 10;
int *ptr = &num;
int **ptr2 = &ptr;
cout << **ptr2;";""A) 10"; "B) The address of 'num'"; "C) Compiler error"; "D) Undefined behavior"";"A) 10"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"Which of the following statements is true about pointers?";""A) Pointers can only store integers"; "B) Pointers cannot be used with arrays"; "C) Pointers can be used to dynamically allocate memory"; "D) Pointers are used for string manipulation"";"C) Pointers can be used to dynamically allocate memory"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int num = 5;
int *ptr = &num;
*ptr = 7;
cout << **ptr2;";""A) 5"; "B) 7"; "C) Compiler error"; "D) Undefined behavior"";"B) 7"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"How do you delete a dynamically allocated array in C++?";""A) delete arr;"; "B) delete[] arr;"; "C) free(arr);"; "D) None of the above"";"B) delete[] arr;"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int num = 10;
int *ptr = &num;
int &ref = *ptr;
ref = 15;
cout << num;";""A) 10"; "B) 15"; "C) Compiler error"; "D) Undefined behavior"";"B) 15"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is a null pointer in C++?";""A) A pointer that points to the first element of an array"; "B) A pointer that points to an invalid memory location"; "C) A pointer that points to the address 0"; "D) A pointer that has not been initialized"";"C) A pointer that points to the address 0"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is a dangling pointer in C++?";""A) A pointer that points to a deallocated memory location"; "B) A pointer that points to a valid memory location"; "C) A pointer that points to the end of an array"; "D) A pointer that points to a null value"";"A) A pointer that points to a deallocated memory location"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"Which of the following is true about the relationship between arrays and pointers in C++?";""A) Arrays can be used as pointers, but pointers cannot be used as arrays"; "B) Pointers can be used as arrays, but arrays cannot be used as pointers"; "C) Arrays and pointers are interchangeable in all situations"; "D) Arrays and pointers are separate concepts and cannot be used interchangeably"";"B) Pointers can be used as arrays, but arrays cannot be used as pointers"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int *ptr = nullptr;
if (ptr) {
    cout << 'Pointer is valid';
} else {
    cout << 'Pointer is null';
}";""A) Pointer is valid"; "B) Pointer is null"; "C) Compiler error"; "D) Undefined behavior"";"B) Pointer is null"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What does the 'const' keyword do when used with a pointer in C++?";""A) It makes the pointer constant, meaning it cannot be reassigned"; "B) It makes the value pointed to by the pointer constant, meaning it cannot be modified"; "C) It makes both the pointer and the value constant"; "D) It has no effect when used with a pointer"";"B) It makes the value pointed to by the pointer constant, meaning it cannot be modified"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int arr[5] = {1, 2, 3, 4, 5};
int *ptr = arr;
cout << *(ptr + 2);";""A) 1"; "B) 2"; "C) 3"; "D) Compiler error"";"C) 3"
